file,model,condition,record_id,gold_family,gold_count,gold_recall_5,distinct_gold_recovered_5,graded_equal,graded_no_empty_reward,graded_operation_filter_weighted
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:7,bar,5,0.2,1,0.8,0.6,0.7142857142857143
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:11,point,5,0.0,0,0.5599999999999999,0.36,0.5428571428571428
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:18,rect,4,0.0,0,0.4666666666666667,0.4666666666666667,0.33333333333333337
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:20,arc,2,0.0,0,0.4,0.2,0.42857142857142855
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:25,boxplot,2,0.0,0,0.8666666666666666,0.4666666666666666,0.9047619047619048
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:26,boxplot,4,0.0,0,0.5,0.5,0.35714285714285715
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:31,rect,2,0.0,0,0.6666666666666667,0.4666666666666667,0.6190476190476192
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:35,bar+line,4,0.0,0,0.8400000000000001,0.64,0.8857142857142858
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:37,arc,2,0.0,0,0.6,0.6,0.42857142857142855
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:39,bar,2,0.0,0,0.7333333333333333,0.7333333333333333,0.6666666666666666
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:62,arc,3,0.0,0,0.7333333333333333,0.5333333333333333,0.8095238095238094
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:70,bar,2,0.0,0,0.8400000000000001,0.64,0.8857142857142858
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:79,boxplot,3,0.0,0,0.8,0.4,0.8571428571428571
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:90,arc,3,0.0,0,0.5333333333333333,0.3333333333333333,0.5238095238095238
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:97,line,5,0.0,0,0.8666666666666666,0.6666666666666666,0.8571428571428571
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:99,boxplot,2,0.0,0,0.7333333333333333,0.3333333333333333,0.8095238095238094
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:102,boxplot,3,0.0,0,0.8666666666666666,0.4666666666666666,0.9047619047619048
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:105,arc,3,0.0,0,0.6333333333333333,0.6333333333333333,0.5476190476190476
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:111,rect,3,0.0,0,0.5,0.5,0.5
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:112,arc,2,0.0,0,0.8333333333333333,0.6333333333333333,0.8333333333333333
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:113,line,3,0.0,0,0.9333333333333332,0.7333333333333333,0.9047619047619048
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:117,bar,5,0.2,1,0.9333333333333332,0.7333333333333333,0.9047619047619048
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:127,arc,2,0.0,0,0.27999999999999997,0.08,0.34285714285714286
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:131,arc,4,0.0,0,0.8333333333333333,0.6333333333333333,0.8333333333333333
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:132,bar,2,0.0,0,0.5733333333333334,0.5733333333333334,0.5047619047619047
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:133,bar,2,0.0,0,0.5333333333333333,0.5333333333333333,0.38095238095238093
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:142,rect,2,1.0,2,1.0,0.8,1.0
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:144,bar,2,0.0,0,0.64,0.44000000000000006,0.6
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:150,bar,4,0.0,0,0.64,0.44000000000000006,0.6
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:157,line,5,0.0,0,0.7333333333333333,0.5333333333333333,0.7619047619047619
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:160,arc,2,0.0,0,0.9,0.7,0.9285714285714286
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:162,rect,3,0.0,0,0.6666666666666667,0.4666666666666667,0.6190476190476192
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:163,line,3,0.0,0,0.6666666666666666,0.6666666666666666,0.619047619047619
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:168,bar,5,0.2,1,0.9333333333333332,0.7333333333333333,0.9047619047619048
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:170,rect,2,0.0,0,0.4,0.4,0.2857142857142857
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:173,point,4,0.25,1,0.8,0.6,0.7142857142857143
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:174,boxplot,2,0.0,0,0.8666666666666666,0.4666666666666666,0.9047619047619048
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:178,arc,2,0.0,0,0.8333333333333333,0.6333333333333333,0.8333333333333333
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:183,bar,3,0.0,0,0.6666666666666666,0.4666666666666666,0.619047619047619
gemma3_27b_1eb26b_d_55_t_cross150.jsonl,gemma3,direct-basic,nvbench2:test:192,point,5,0.0,0,0.4,0.2,0.42857142857142855
