case_id,model,gold_fields_exposed,candidate_field_count,query_only_json_valid,privileged_json_valid,query_only_chart_match,privileged_chart_match,query_only_field_pair_match,privileged_field_pair_match,query_only_full_match,privileged_full_match
1003,codegemma:7b,1,7,1,1,1,1,0,0,0,0
1003,granite3.1-dense:2b,1,7,1,1,1,1,0,0,0,0
1003,llama3.2:3b,1,7,1,1,1,1,0,0,0,0
1003,phi3.5:latest,1,7,1,1,1,1,0,0,0,0
1003,qwen2.5:3b,1,7,1,1,1,1,0,0,0,0
1014,codegemma:7b,1,3,1,1,1,1,0,0,0,0
1014,granite3.1-dense:2b,1,3,1,1,1,1,0,1,0,1
1014,llama3.2:3b,1,3,1,1,1,1,0,0,0,0
1014,phi3.5:latest,1,3,1,1,1,1,0,0,0,0
1014,qwen2.5:3b,1,3,1,1,1,1,0,0,0,0
1082,codegemma:7b,1,6,1,1,1,1,0,0,0,0
1082,granite3.1-dense:2b,1,6,1,1,1,1,0,1,0,1
1082,llama3.2:3b,1,6,1,1,1,1,0,0,0,0
1082,phi3.5:latest,1,6,1,1,1,1,0,0,0,0
1082,qwen2.5:3b,1,6,1,1,1,1,0,0,0,0
1130,codegemma:7b,1,4,1,1,1,1,0,1,0,1
1130,granite3.1-dense:2b,1,4,1,1,1,1,0,1,0,1
1130,llama3.2:3b,1,4,1,1,1,1,0,1,0,1
1130,phi3.5:latest,1,4,1,0,1,0,0,0,0,0
1130,qwen2.5:3b,1,4,1,1,1,1,0,1,0,1
1133,codegemma:7b,1,5,1,1,0,0,0,0,0,0
1133,granite3.1-dense:2b,1,5,1,1,1,1,0,0,0,0
1133,llama3.2:3b,1,5,1,1,0,0,0,0,0,0
1133,phi3.5:latest,1,5,1,1,0,0,0,0,0,0
1133,qwen2.5:3b,1,5,1,1,0,0,0,0,0,0
1142@y_name@ASC,codegemma:7b,1,6,1,1,1,1,0,1,0,1
1142@y_name@ASC,granite3.1-dense:2b,1,6,1,1,1,1,0,0,0,0
1142@y_name@ASC,llama3.2:3b,1,6,1,1,1,1,0,1,0,1
1142@y_name@ASC,phi3.5:latest,1,6,0,1,0,1,0,0,0,0
1142@y_name@ASC,qwen2.5:3b,1,6,1,1,1,1,1,1,1,1
